STATE,ST_CASE,PVE_FORMS,VEH_NO,CrashDate,CrashTime,PMAN_COLL,PNUMOCCS,PTYPE,PHIT_RUN,PMODEL,PMODYEAR,PGVWR,PV_CONFIG,PHAZ_INV,PHAZ_ID,PVEH_SEV,PTOWED,PFIRE,PDEATHS
6,62582,2,4,15-Oct,14:00,1,0,4,0,481,1996,0,0,1,0,2,3,0,0
6,62614,2,3,18-Oct,18:55,0,0,3,0,421,2014,0,0,1,0,4,5,0,0
6,62614,2,4,18-Oct,18:55,0,0,3,0,3,2002,0,0,1,0,2,5,0,0
6,62625,1,2,01-Nov,19:10,0,0,2,0,31,2000,0,0,1,0,6,5,0,0
6,62641,1,2,19-Sep,02:52,0,0,3,0,47,2003,0,0,1,0,2,5,0,0
6,62652,1,2,14-Dec,10:15,0,0,2,0,40,2011,0,0,1,0,2,5,0,0
6,62666,1,2,06-Dec,02:54,0,0,2,0,881,2003,3,6,1,0,2,5,0,0
6,62705,1,2,19-Sep,00:17,0,0,2,0,481,2002,0,0,1,0,2,5,0,0
6,62705,1,3,19-Sep,00:17,0,0,2,0,998,2006,0,0,1,0,2,5,0,0
6,62712,1,2,15-Oct,08:10,0,0,2,0,481,2000,0,0,1,0,4,3,0,0
6,62719,1,2,02-Apr,10:01,0,0,2,0,402,2015,0,0,1,0,2,5,0,0
6,62734,1,2,01-Oct,02:35,0,0,3,0,881,2016,3,2,1,0,4,3,0,0
6,62741,1,2,17-Oct,01:10,0,0,2,0,881,2004,3,6,1,0,2,5,0,0
6,62741,1,3,17-Oct,01:10,0,0,2,0,881,2008,3,6,1,0,4,5,0,0
6,62744,1,2,03-Dec,05:15,0,0,2,0,421,2001,0,0,1,0,4,3,0,0
6,62748,4,4,03-Dec,13:50,2,1,2,0,734,2010,0,0,1,0,2,5,0,0
6,62750,1,2,01-Oct,19:53,0,0,3,0,34,1999,0,0,1,0,4,5,0,0
6,62750,1,3,01-Oct,19:53,0,0,3,0,32,1988,0,0,1,0,4,5,0,0
6,62753,1,2,12-Dec,08:35,0,0,2,0,481,2007,0,0,1,0,4,3,0,0
6,62755,1,2,15-Dec,05:30,0,0,2,0,31,1993,0,0,1,0,2,3,0,0
6,62761,1,2,02-Dec,10:50,0,0,3,0,481,2015,0,0,1,0,4,5,0,0
6,62762,1,2,23-Sep,00:18,0,1,2,0,40,2002,0,0,1,0,6,2,0,1
6,62774,1,2,28-Oct,15:11,0,1,2,0,31,1995,0,0,1,0,4,8,0,0
6,62774,1,3,28-Oct,15:11,0,1,2,0,466,1987,0,0,1,0,2,8,0,0
6,62816,2,3,22-Nov,00:30,2,0,2,0,706,2006,0,0,1,0,6,2,0,0
6,62816,2,4,22-Nov,00:30,2,0,2,0,706,2000,0,0,1,0,6,2,0,0
6,62816,2,5,22-Nov,00:30,2,0,2,0,706,2004,0,0,1,0,6,2,0,0
6,62816,2,6,22-Nov,00:30,2,0,2,0,705,2004,0,0,1,0,6,2,0,0
6,62816,2,7,22-Nov,00:30,2,0,2,0,705,2007,0,0,1,0,6,2,0,0
6,62816,2,8,22-Nov,00:30,2,0,2,0,706,2002,0,0,1,0,6,2,0,0
6,62819,2,3,25-Aug,22:56,0,0,2,0,441,2006,0,0,1,0,2,3,0,0
6,62833,1,2,20-Nov,12:12,0,1,2,0,881,2007,3,6,1,0,4,5,0,0
6,62858,2,3,15-Mar,00:40,6,0,2,0,401,2014,0,0,1,0,2,5,0,0
6,62858,2,4,15-Mar,00:40,6,0,2,0,28,2015,0,0,1,0,2,5,0,0
6,62875,1,2,11-Dec,18:57,0,0,2,0,9,2015,0,0,1,0,6,2,0,0
6,62904,2,3,03-Feb,19:52,6,0,2,0,999,9999,0,0,1,0,8,5,0,0
6,62926,1,2,12-Sep,15:30,0,0,2,0,40,2004,0,0,1,0,6,5,0,0
6,62930,2,3,27-May,18:04,6,0,2,0,35,1999,0,0,1,0,2,5,0,0
6,62931,1,2,30-Aug,20:29,0,0,2,0,442,1998,0,0,1,0,4,3,0,0
6,62931,1,3,30-Aug,20:29,0,2,2,0,442,1989,0,0,1,0,4,5,0,0
8,80002,1,2,03-Jan,14:41,0,3,2,0,481,2007,0,0,1,0,4,3,0,0
8,80032,1,2,30-Jan,19:57,0,0,2,0,29,2013,0,0,1,0,4,5,0,0
8,80143,1,2,28-Apr,01:07,0,0,3,0,40,2006,0,0,1,0,2,5,0,0
8,80143,1,3,28-Apr,01:07,0,0,2,0,461,1993,0,0,1,0,6,2,0,0
8,80151,1,2,25-Jan,01:23,0,0,2,0,7,2005,0,0,1,0,6,2,0,0
8,80151,1,3,25-Jan,01:23,0,0,2,0,47,2001,0,0,1,0,8,8,0,0
8,80188,2,3,19-May,17:48,0,0,2,0,40,2004,0,0,1,0,6,2,0,0
8,80221,1,2,23-Jun,16:17,0,0,2,0,16,1999,0,0,1,0,6,2,0,0
8,80221,1,3,23-Jun,16:17,0,0,2,0,461,1999,0,0,1,0,6,8,0,0
8,80294,4,5,03-Aug,06:33,1,0,2,0,51,2010,0,0,1,0,6,8,0,0
8,80294,4,6,03-Aug,06:33,1,0,2,0,34,1997,0,0,1,0,6,8,0,0
8,80443,1,2,25-Jul,01:50,0,0,3,0,35,2005,0,0,1,0,6,8,0,0
8,80443,1,3,25-Jul,01:50,0,0,3,0,403,2013,0,0,1,0,6,8,0,0
9,90012,1,2,08-Mar,21:17,0,0,2,0,472,2001,0,0,1,0,6,2,0,0
9,90033,2,2,03-Jan,14:57,0,2,2,0,25,2007,0,0,1,0,6,2,0,0
9,90071,1,1,03-Jan,15:44,0,0,2,0,32,2003,0,0,1,0,6,2,0,0
9,90114,1,2,15-Sep,16:41,0,0,2,0,37,2013,0,0,1,0,6,2,0,0
9,90114,1,3,15-Sep,16:41,0,0,2,0,32,2014,0,0,1,0,4,3,0,0
9,90124,1,2,21-Sep,18:13,0,0,3,0,32,1999,0,0,1,0,9,9,0,0
9,90181,2,3,25-Dec,01:30,6,0,2,0,35,2010,0,0,1,0,6,2,0,0
9,90181,2,4,25-Dec,01:30,6,0,2,0,421,2007,0,0,1,0,2,5,0,0
